YEAR,ST,STATE,RESIDENTIAL,COMMERCIAL,INDUSTRIAL,OTHER,TOTAL,TRANSPORTATION,,,
1991,KS,Kansas,"9,933,309","9,551,119","8,283,740","384,058","28,152,224",0,,,
1991,KY,Kentucky,"18,644,458","9,899,869","32,938,944","2,710,528","64,193,803",0,,,
1991,LA,Louisiana,"21,576,815","13,970,338","26,583,901","2,573,244","64,704,299",0,,,
1991,MA,Massachusetts,"15,379,420","18,516,908","9,793,514","1,106,948","44,796,786",0,,,
1991,MD,Maryland,"20,295,448","10,667,414","19,448,114","696,831","51,107,809",0,,,
1991,ME,Maine,"3,817,134","2,685,496","4,708,840","171,310","11,382,783",0,,,
1991,MI,Michigan,"26,759,510","21,454,733","35,006,635","1,297,662","84,518,542",0,,,
1991,MN,Minnesota,"15,655,101","8,416,649","23,937,845","745,003","48,754,597",0,,,
1991,MO,Missouri,"23,386,303","19,111,774","13,113,854","902,226","56,514,157",0,,,
1991,MS,Mississippi,"12,517,521","6,831,769","13,024,289","645,806","33,019,383",0,,,
1991,MT,Montana,"3,458,894","2,818,850","6,622,098","506,759","13,406,599",0,,,
1991,NC,North Carolina,"34,390,833","24,675,722","31,514,220","1,735,708","92,316,484",0,,,
1991,ND,North Dakota,"3,096,206","1,875,987","1,762,079","520,927","7,255,202",0,,,
1991,NE,Nebraska,"7,138,298","5,291,348","4,689,781","1,485,762","18,605,193",0,,,
1991,NH,New Hampshire,"3,356,706","2,029,125","3,265,025","110,920","8,761,774",0,,,
1991,NJ,New Jersey,"21,539,104","27,627,097","15,031,232","485,119","64,682,552",0,,,
1991,NM,New Mexico,"3,665,111","4,532,875","4,546,441","1,339,514","14,083,945",0,,,
1991,NV,Nevada,"5,781,827","3,986,737","6,172,513","684,343","16,625,419",0,,,
1991,NY,New York,"39,177,424","46,981,962","31,111,531","12,140,051","129,410,968",0,,,
1991,OH,Ohio,"40,942,448","32,325,492","67,856,138","4,534,241","145,658,320",0,,,
1991,OK,Oklahoma,"15,324,940","10,586,713","11,414,862","2,077,881","39,404,397",0,,,
1991,OR,Oregon,"15,949,121","11,614,084","15,296,761","790,788","43,650,751",0,,,
1991,PA,Pennsylvania,"39,597,641","30,552,516","44,728,178","1,458,664","116,336,997",0,,,
1991,RI,Rhode Island,"2,368,832","2,474,169","1,363,160","196,886","6,403,046",0,,,
1991,SC,South Carolina,"18,706,763","12,208,945","25,360,811","792,815","57,069,331",0,,,
1991,SD,South Dakota,"3,039,890","1,521,975","1,726,159","397,117","6,685,142",0,,,
1991,TN,Tennessee,"29,605,275","12,096,992","35,667,295","1,020,578","78,390,143",0,,,
1991,TX,Texas,"84,088,110","61,447,400","84,122,423","10,693,854","240,351,789",0,,,
1991,UT,Utah,"4,460,041","4,733,977","5,875,923","837,460","15,907,404",0,,,
1991,VA,Virginia,"29,607,347","21,230,493","16,028,804","8,244,506","75,111,149",0,,,
1991,VT,Vermont,"1,783,450","1,491,488","1,389,670","39,849","4,704,455",0,,,
1991,WA,Washington,"29,889,138","18,143,350","40,838,987","3,842,033","92,713,508",0,,,
1991,WI,Wisconsin,"17,349,466","13,308,794","19,685,676","688,270","51,032,208",0,,,
1991,WV,West Virginia,"8,106,274","5,218,904","10,205,954","93,814","23,624,946",0,,,
1991,WY,Wyoming,"1,819,414","2,310,466","7,498,103","128,862","11,756,847",0,,,
1991,US,United States,"955,417,354","765,663,602","946,583,391","94,338,702","2,762,003,050",0,,,
1992,AK,Alaska,"1,640,135","2,034,708","504,279","159,812","4,338,935",0,,,
1992,AL,Alabama,"21,136,707","10,916,982","29,476,078","636,894","62,166,661",0,,,
1992,AR,Arkansas,"10,440,089","6,176,586","11,251,478","582,958","28,451,113",0,,,
1992,AZ,Arizona,"16,230,296","14,467,710","11,055,251","1,898,014","43,651,271",0,,,
1992,CA,California,"68,121,106","80,234,568","57,089,509","8,002,059","213,447,241",0,,,
1992,CO,Colorado,"10,215,715","13,897,582","6,848,997","859,677","31,821,971",0,,,
1992,CT,Connecticut,"10,496,046","10,484,811","5,779,536","366,579","27,126,973",0,,,
1992,DC,District of Columbia,"1,487,974","5,226,804","2,987,181","341,061","10,043,021",0,,,
1992,DE,Delaware,"2,786,233","2,445,195","3,248,214","52,741","8,532,382",0,,,
1992,FL,Florida,"73,188,923","52,620,260","16,497,053","4,703,701","147,009,941",0,,,
1992,GA,Georgia,"30,527,585","23,714,683","28,197,008","952,156","83,391,432",0,,,
1992,HI,Hawaii,"2,438,376","2,356,266","3,811,321","60,930","8,666,888",0,,,
1992,IA,Iowa,"10,290,462","7,018,603","12,134,348","764,661","30,208,072",0,,,
1992,ID,Idaho,"5,738,743","5,339,620","7,551,047","378,794","19,008,206",0,,,
1992,IL,Illinois,"32,367,011","31,456,855","40,898,339","7,798,316","112,520,518",0,,,
1992,IN,Indiana,"22,837,036","16,082,608","37,438,599","618,567","76,976,812",0,,,
1992,KS,Kansas,"8,872,899","9,399,895","8,450,499","345,814","27,069,104",0,,,
1992,KY,Kentucky,"17,786,737","9,575,691","37,083,527","2,621,861","67,067,820",0,,,
1992,LA,Louisiana,"21,187,675","13,838,870","27,466,440","2,605,342","65,098,329",0,,,
1992,MA,Massachusetts,"15,560,071","18,629,489","9,662,901","1,145,620","44,998,082",0,,,
1992,MD,Maryland,"19,762,032","10,769,686","19,768,026","689,042","50,988,788",0,,,
1992,ME,Maine,"3,829,581","2,729,541","4,753,027","170,874","11,483,027",0,,,
1992,MI,Michigan,"25,670,668","21,208,469","35,656,773","1,304,317","83,840,226",0,,,
1992,MN,Minnesota,"14,847,982","8,290,948","23,556,855","716,369","47,412,152",0,,,
1992,MO,Missouri,"21,293,573","18,792,384","13,440,250","884,646","54,410,855",0,,,
1992,MS,Mississippi,"12,422,485","6,732,154","13,490,594","595,955","33,241,189",0,,,
1992,MT,Montana,"3,286,366","2,859,487","6,414,380","536,150","13,096,381",0,,,
1992,NC,North Carolina,"34,761,066","25,142,416","32,521,881","1,769,972","94,195,332",0,,,
1992,ND,North Dakota,"3,020,003","1,752,213","1,835,482","520,679","7,128,380",0,,,
1992,NE,Nebraska,"6,561,473","5,266,039","4,752,478","1,204,340","17,784,330",0,,,
1992,NH,New Hampshire,"3,428,235","2,077,226","3,332,746","116,105","8,954,314",0,,,
1992,NJ,New Jersey,"20,547,015","27,403,255","14,687,421","484,665","63,122,358",0,,,
1992,NM,New Mexico,"3,791,300","4,629,913","4,608,808","1,401,458","14,431,480",0,,,
1992,NV,Nevada,"6,064,333","4,174,993","6,723,204","733,721","17,696,253",0,,,
1992,NY,New York,"38,719,530","46,591,363","31,027,285","12,131,533","128,469,712",0,,,
1992,OH,Ohio,"39,140,657","31,818,312","69,674,158","4,383,338","145,016,464",0,,,
1992,OK,Oklahoma,"14,253,847","10,338,403","11,598,899","2,076,056","38,267,209",0,,,
1992,OR,Oregon,"15,202,147","11,818,379","15,123,151","766,498","42,910,175",0,,,
1992,PA,Pennsylvania,"39,245,066","30,779,059","44,869,413","1,394,078","116,287,618",0,,,
1992,RI,Rhode Island,"2,363,315","2,480,534","1,359,066","189,643","6,392,561",0,,,
1992,SC,South Carolina,"18,939,699","12,375,105","26,304,749","781,366","58,400,921",0,,,
1992,SD,South Dakota,"2,842,525","1,517,975","1,777,306","356,041","6,493,845",0,,,
1992,TN,Tennessee,"29,498,154","6,469,566","41,694,781","921,615","78,584,112",0,,,
1992,TX,Texas,"81,933,580","61,695,681","85,421,158","10,380,619","239,431,038",0,,,
1992,UT,Utah,"4,505,461","4,955,704","6,211,696","894,196","16,567,055",0,,,
1992,VA,Virginia,"29,780,324","21,609,573","16,713,730","8,344,798","76,448,427",0,,,
1992,VT,Vermont,"1,927,134","1,527,001","1,440,228","46,672","4,941,031",0,,,
1992,WA,Washington,"28,435,824","18,727,289","38,331,617","3,824,587","89,319,317",0,,,
1992,WI,Wisconsin,"16,614,668","13,242,758","20,381,549","686,114","50,925,088",0,,,
1992,WV,West Virginia,"8,138,301","5,227,517","10,369,860","95,442","23,831,117",0,,,
1992,WY,Wyoming,"1,762,625","2,349,802","7,441,811","145,710","11,699,947",0,,,
1992,US,United States,"935,938,788","761,270,531","972,713,987","93,442,156","2,763,365,474",0,,,
1993,AK,Alaska,"1,629,037","2,062,399","501,060","182,133","4,374,626",0,,,
1993,AL,Alabama,"22,627,782","11,254,231","30,523,625","652,037","65,057,675",0,,,
1993,AR,Arkansas,"11,761,761","6,698,105","12,609,005","594,063","31,662,932",0,,,
1993,AZ,Arizona,"16,705,092","14,813,140","10,989,058","1,900,567","44,407,854",0,,,
1993,CA,California,"67,358,694","79,058,162","56,189,186","7,893,888","210,499,926",0,,,
1993,CO,Colorado,"10,655,734","14,422,395","7,024,009","855,666","32,957,802",0,,,
1993,CT,Connecticut,"10,596,641","10,676,841","5,597,348","367,656","27,238,488",0,,,
1993,DC,District of Columbia,"1,634,807","5,417,566","2,976,390","345,859","10,374,622",0,,,
1993,DE,Delaware,"3,043,827","2,604,585","3,416,811","55,912","9,121,133",0,,,
1993,FL,Florida,"76,827,417","54,875,681","16,297,719","4,747,000","152,747,819",0,,,
1993,GA,Georgia,"33,866,822","25,168,564","29,084,291","1,071,366","89,191,039",0,,,
1993,HI,Hawaii,"2,468,578","2,363,223","3,769,878","56,233","8,657,909",0,,,
1993,IA,Iowa,"11,103,103","7,268,932","12,465,071","1,266,802","32,103,911",0,,,
1993,ID,Idaho,"6,245,111","4,968,603","7,222,067","284,059","18,719,840",0,,,
1993,IL,Illinois,"35,225,721","34,354,864","40,249,440","7,956,351","117,786,373",0,,,
1993,IN,Indiana,"24,978,466","17,015,035","39,415,341","522,651","81,931,490",0,,,
1993,KS,Kansas,"9,986,318","9,753,229","8,702,317","366,522","28,808,384",0,,,
1993,KY,Kentucky,"19,223,127","9,828,936","36,320,038","2,777,084","68,149,185",0,,,
1993,LA,Louisiana,"22,430,247","14,398,303","28,439,212","2,488,067","67,755,825",0,,,
1993,MA,Massachusetts,"15,785,271","18,896,865","9,604,594","994,015","45,280,749",0,,,
1993,MD,Maryland,"21,546,122","11,316,964","20,200,630","808,686","53,872,404",0,,,
1993,ME,Maine,"3,872,292","2,868,390","5,039,632","172,040","11,952,356",0,,,
1993,MI,Michigan,"26,770,174","28,930,388","30,571,545","1,316,496","87,588,602",0,,,
1993,MN,Minnesota,"15,596,985","8,535,124","24,384,332","694,227","49,210,670",0,,,
1993,MO,Missouri,"24,182,047","19,914,074","13,617,993","907,951","58,622,068",0,,,
1993,MS,Mississippi,"13,199,806","6,685,014","14,229,237","635,243","34,749,302",0,,,
1993,MT,Montana,"3,597,986","3,026,076","5,836,580","468,584","12,929,225",0,,,
1993,NC,North Carolina,"37,742,398","26,747,461","33,487,658","1,800,039","99,777,555",0,,,
1993,ND,North Dakota,"3,209,082","1,830,759","1,904,642","487,475","7,431,959",0,,,
1993,NE,Nebraska,"7,226,028","5,471,340","4,962,539","1,089,133","18,749,041",0,,,
1993,NH,New Hampshire,"3,420,321","2,122,568","3,099,592","118,486","8,760,969",0,,,
1993,NJ,New Jersey,"22,042,044","28,493,042","14,595,878","489,681","65,620,646",0,,,
1993,NM,New Mexico,"3,884,263","4,759,364","4,816,122","1,467,131","14,926,878",0,,,
1993,NV,Nevada,"6,280,699","4,297,615","7,180,913","739,625","18,498,851",0,,,
1993,NY,New York,"39,897,466","47,728,275","30,187,054","12,357,385","130,170,178",0,,,
1993,OH,Ohio,"41,950,456","33,298,608","68,831,022","4,490,578","148,570,666",0,,,
1993,OK,Oklahoma,"15,901,345","10,823,964","11,698,989","2,107,030","40,531,328",0,,,
1993,OR,Oregon,"16,696,259","12,205,080","15,012,281","664,280","44,577,903",0,,,
1993,PA,Pennsylvania,"41,455,430","32,251,642","44,949,311","1,325,111","119,981,494",0,,,
1993,RI,Rhode Island,"2,411,808","2,532,213","1,418,674","185,744","6,548,438",0,,,
1993,SC,South Carolina,"20,686,870","13,176,633","26,866,872","802,349","61,532,725",0,,,
1993,SD,South Dakota,"3,109,114","1,620,792","1,847,336","327,465","6,904,707",0,,,
1993,TN,Tennessee,"30,199,490","5,174,640","43,530,194","927,854","79,832,182",0,,,
1993,TX,Texas,"87,685,724","64,331,490","86,932,759","11,134,441","250,084,414",0,,,
1993,UT,Utah,"4,725,973","5,019,970","6,221,087","900,100","16,867,129",0,,,
1993,VA,Virginia,"32,472,065","22,726,974","17,390,106","8,782,634","81,371,781",0,,,
1993,VT,Vermont,"1,971,084","1,569,894","1,430,964","43,615","5,015,559",0,,,
1993,WA,Washington,"30,932,034","19,530,993","36,562,814","3,446,770","90,472,611",0,,,
1993,WI,Wisconsin,"17,373,395","13,710,449","21,410,442","662,116","53,156,402",0,,,
1993,WV,West Virginia,"8,682,375","5,480,459","10,187,148","91,544","24,441,524",0,,,
1993,WY,Wyoming,"1,906,134","2,493,450","7,363,451","122,153","11,885,187",0,,,
1993,US,United States,"994,780,825","794,573,364","977,164,257","94,943,897","2,861,462,336",0,,,
1994,AK,Alaska,"1,688,135","2,154,844","511,428","178,974","4,533,378",0,,,
1994,AL,Alabama,"23,158,544","11,844,228","31,918,985","658,919","67,580,676",0,,,
1994,AR,Arkansas,"11,642,130","6,865,633","13,525,888","585,448","32,619,097",0,,,
1994,AZ,Arizona,"18,212,373","15,624,770","11,303,259","2,141,635","47,282,034",0,,,
1994,CA,California,"68,866,356","76,924,502","59,863,696","8,029,749","213,684,303",0,,,
1994,CO,Colorado,"10,938,747","12,953,193","9,620,137","990,200","34,502,281",0,,,
1994,CT,Connecticut,"10,898,426","10,844,624","5,916,930","365,688","28,025,671",0,,,
1994,DC,District of Columbia,"1,571,539","8,093,088","267,295","362,753","10,294,675",0,,,
1994,DE,Delaware,"3,107,180","2,684,563","3,446,826","60,401","9,298,970",0,,,
1994,FL,Florida,"80,595,125","57,447,392","16,512,739","4,989,047","159,544,297",0,,,
1994,GA,Georgia,"32,734,558","26,161,353","29,942,275","1,074,895","89,913,085",0,,,
1994,HI,Hawaii,"2,556,879","2,542,917","3,790,664","57,961","8,948,423",0,,,
1994,IA,Iowa,"11,061,656","7,477,060","13,224,138","1,276,401","33,039,250",0,,,
1994,ID,Idaho,"6,221,886","5,637,526","7,646,628","372,576","19,878,616",0,,,
1994,IL,Illinois,"35,705,728","35,662,745","41,765,361","8,356,215","121,490,049",0,,,
1994,IN,Indiana,"25,048,143","17,462,432","40,762,763","534,203","83,807,543",0,,,
1994,KS,Kansas,"10,130,537","10,110,627","9,001,456","371,200","29,613,821",0,,,
1994,KY,Kentucky,"19,480,849","10,094,520","40,048,862","2,861,134","72,485,367",0,,,
