,latitude,longitude,plant_name,total_cap,plant_types_all,plant_caps_all,plant_type,renewable,state_long
1226,41.8217,-74.0497,Dashville,4.8,hydro,4.8,hydro,TRUE,New York
1227,41.8194,-74.6358,Neversink,22,hydro,22,hydro,TRUE,New York
1228,42.291275,-73.986452,South Cairo,21.3,petroleum,21.3,petroleum,FALSE,New York
1229,41.848191,-74.046678,Sturgeon,14.4,hydro,14.4,hydro,TRUE,New York
1230,42.3435,-73.8353,West Coxsackie,21.3,petroleum,21.3,petroleum,FALSE,New York
1231,40.591564,-74.200035,Arthur Kill Generating Station,858,natural_gas,858,natural_gas,FALSE,New York
1232,40.7281,-73.9742,East River,609.3,"natural_gas,petroleum","287.5,321.8",natural_gas,FALSE,New York
1233,40.6635,-74.0051,Gowanus Gas Turbines Generating,547.4,"natural_gas,petroleum","280.1,267.3",natural_gas,FALSE,New York
1234,40.7052,-73.9807,Hudson Avenue,44.6,petroleum,44.6,petroleum,FALSE,New York
1235,41.270556,-73.9527,Indian Point 2,1020.4,nuclear,1020.4,nuclear,FALSE,New York
1236,40.648611,-74.020833,Narrows Gas Turbines Generating,286,natural_gas,286,natural_gas,FALSE,New York
1237,40.759167,-73.946111,Ravenswood,2207.6,natural_gas,2207.6,natural_gas,FALSE,New York
1238,40.771285,-73.99115,59th Street,15.4,petroleum,15.4,petroleum,FALSE,New York
1239,40.768,-73.9515,74th Street,28.6,petroleum,28.6,petroleum,FALSE,New York
1240,40.616689,-73.647881,E F Barrett,668,natural_gas,668,natural_gas,FALSE,New York
1241,40.961706,-72.210277,East Hampton,24.9,petroleum,24.9,petroleum,FALSE,New York
1242,40.827149,-73.647473,Glenwood,104.7,petroleum,104.7,petroleum,FALSE,New York
1243,40.923565,-73.342323,Northport,1593.1,"natural_gas,petroleum","1580.7,12.4",natural_gas,FALSE,New York
1244,40.949696,-73.078507,Port Jefferson,488.1,"natural_gas,petroleum","475.7,12.4",natural_gas,FALSE,New York
1245,40.96159,-72.864976,Shoreham,63.1,petroleum,63.1,petroleum,FALSE,New York
1246,40.899997,-72.381977,South Hampton,8.4,petroleum,8.4,petroleum,FALSE,New York
1247,41.1059,-72.3761,Southold,9.1,petroleum,9.1,petroleum,FALSE,New York
1248,40.695485,-73.348573,West Babylon,49.9,petroleum,49.9,petroleum,FALSE,New York
1249,44.695,-73.6219,Cadyville,5.5,hydro,5.5,hydro,TRUE,New York
1250,42.6789,-76.9483,Greenidge Generation LLC,107.5,coal,107.5,coal,FALSE,New York
1251,43.9719,-74.1861,Harris Lake,1.7,petroleum,1.7,petroleum,FALSE,New York
1252,44.6389,-73.7492,High Falls,15,hydro,15,hydro,TRUE,New York
1253,44.7053,-73.5967,Kent Falls,13.6,hydro,13.6,hydro,TRUE,New York
1254,42.6028,-76.6336,Cayuga Operating Company,314.9,coal,314.9,coal,FALSE,New York
1255,42.594196,-73.763752,Bethlehem Energy Center,755,natural_gas,755,natural_gas,FALSE,New York
1256,44.660338,-74.860265,Allens Falls,4.9,hydro,4.9,hydro,TRUE,New York
1257,43.019113,-74.741349,Beardslee,16.6,hydro,16.6,hydro,TRUE,New York
1258,43.9275,-75.3331,Belfort,1.6,hydro,1.6,hydro,TRUE,New York
1259,43.5317,-75.9531,Bennetts Bridge,30.3,hydro,30.3,hydro,TRUE,New York
1260,44.000122,-75.813151,Black River,6.9,hydro,6.9,hydro,TRUE,New York
1261,44.506474,-74.753442,Blake,14.2,hydro,14.2,hydro,TRUE,New York
1262,44.211407,-75.059441,Browns Falls,15.3,hydro,15.3,hydro,TRUE,New York
1263,42.97,-78.93,C R Huntley Generating Station,380,coal,380,coal,FALSE,New York
1264,44.7533,-74.2169,Chasm,3,hydro,3,hydro,TRUE,New York
1265,44.5839,-74.9583,Colton,29.7,hydro,29.7,hydro,TRUE,New York
1266,44.0381,-75.6806,Deferiet,10.2,hydro,10.2,hydro,TRUE,New York
1267,42.491467,-79.346631,Dunkirk Generating Plant,520,coal,520,coal,FALSE,Unknown
1268,43.909714,-75.200831,Eagle,5.4,hydro,5.4,hydro,TRUE,New York
1269,44.638365,-75.49052,Eel Weir,2.2,hydro,2.2,hydro,TRUE,New York
1270,43.922831,-75.277923,Effley,2.8,hydro,2.8,hydro,TRUE,New York
1271,43.927536,-75.288322,Elmer,1.8,hydro,1.8,hydro,TRUE,New York
1272,43.0092,-74.5372,Ephratah,3.7,hydro,3.7,hydro,TRUE,New York
1273,44.7989,-74.9856,East Norfolk,3.6,hydro,3.6,hydro,TRUE,New York
1274,44.527491,-74.849177,Five Falls,22.4,hydro,22.4,hydro,TRUE,New York
1275,44.2217,-75.0742,Flat Rock,3.9,hydro,3.9,hydro,TRUE,New York
1276,44.4372,-73.9725,Franklin,2.1,hydro,2.1,hydro,TRUE,New York
1277,43.32411,-76.418984,Fulton,1,hydro,1,hydro,TRUE,New York
1278,43.2358,-78.3906,Glenwood,1.3,hydro,1.3,hydro,TRUE,New York
1279,43.323441,-76.420841,Granby,10,hydro,10,hydro,TRUE,New York
1280,44.6192,-74.9733,Hannawa,7.5,hydro,7.5,hydro,TRUE,New York
1281,44.0217,-75.6511,Herrings,4.4,hydro,4.4,hydro,TRUE,New York
