"YEAR","ST","STATE","RESIDENTIAL","COMMERCIAL","INDUSTRIAL","OTHER","TOTAL","TRANSPORTATION"
2001,"NC","North Carolina",46200716,37744147,32931139,2150941,119026943,0
2001,"ND","North Dakota",3479809,3070650,2753243,506055,9809757,0
2001,"NE","Nebraska",8638208,7232147,7327582,1524703,24722640,0
2001,"NH","New Hampshire",3789290,3910770,2482550,132941,10315551,0
2001,"NJ","New Jersey",25491423,34445279,12706552,534136,73177390,0
2001,"NM","New Mexico",4999477,6843577,5271879,1611661,18726594,0
2001,"NV","Nevada",9606869,6693111,11238936,628377,28167293,0
2001,"NY","New York",44235593,60806218,25449717,13689232,144180760,0
2001,"OH","Ohio",47346163,39372078,65098733,3980740,155797714,0
2001,"OK","Oklahoma",19795853,13551964,13356189,2962719,49666725,0
2001,"OR","Oregon",17502996,14816355,13084361,481118,45884830,0
2001,"PA","Pennsylvania",46029989,40552670,47383320,1305954,135271933,0
2001,"RI","Rhode Island",2699059,3240057,1385911,67890,7392917,0
2001,"SC","South Carolina",24874643,17484201,31527678,945845,74832367,0
2001,"SD","South Dakota",3580418,2915072,1666098,465411,8626999,0
2001,"TN","Tennessee",36931534,25973834,32148645,1076705,96130718,0
2001,"TX","Texas",117342779,87912113,98208408,14580874,318044174,0
2001,"UT","Utah",6692983,8262123,7411434,850768,23217308,0
2001,"VA","Virginia",37325231,29065836,19701918,10360190,96453175,0
2001,"VT","Vermont",2009403,1925563,1608429,42051,5585446,0
2001,"WA","Washington",31608471,23840525,19338924,3707327,78495247,0
2001,"WI","Wisconsin",20417899,18677917,25370339,752138,65218293,0
2001,"WV","West Virginia",9828180,6785667,10978083,77502,27669432,0
2001,"WY","Wyoming",2145532,2915188,7700184,188601,12949505,0
2002,"AK","Alaska",1932217,2238236,1087855,207181,5465489,0
2002,"AL","Alabama",30021763,19665858,32615340,764117,83067078,0
2002,"AR","Arkansas",15527374,9304383,16886708,731093,42449558,0
2002,"AZ","Arizona",26412614,22371092,11026379,2790652,62600737,0
2002,"CA","California",77202300,102587366,48447725,6975941,235213332,0
2002,"CO","Colorado",15424846,18438437,10672226,1401187,45936696,0
2002,"CT","Connecticut",12472813,12614039,5370339,548298,31005489,0
2002,"DC","District of Columbia",1790103,8645085,282397,411158,11128743,0
2002,"DE","Delaware",4020308,3787486,4151034,59906,12018734,0
2002,"FL","Florida",108163825,77561350,18959313,5789042,210473530,0
2002,"GA","Georgia",48599732,38886943,34603113,1699290,123789078,0
2002,"HI","Hawaii",2898380,3167933,3770401,54924,9891638,0
2002,"IA","Iowa",12920571,8803131,16547527,2626314,40897543,0
2002,"ID","Idaho",7055912,6962527,6352163,329064,20699666,0
2002,"IL","Illinois",45030069,44243823,39287515,9885906,138447313,0
2002,"IN","Indiana",31567900,21790374,47481232,589044,101428550,0
2002,"KS","Kansas",12745301,13392220,10195483,380536,36713540,0
2002,"KY","Kentucky",25347157,14745178,43812377,3362123,87266835,0
2002,"LA","Louisiana",28157092,18685881,29661709,2756307,79260989,0
2002,"MA","Massachusetts",18694666,24249594,10086842,676435,53707537,0
2002,"MD","Maryland",25489053,21044289,20874507,972057,68379906,0
2002,"ME","Maine",4043100,3789180,3549827,59251,11441358,0
2002,"MI","Michigan",34336161,35880320,33537474,959565,104713520,0
2002,"MN","Minnesota",20450927,19456717,21514632,740085,62162361,0
2002,"MO","Missouri",31684209,26796207,15341437,1178776,75000629,0
2002,"MS","Mississippi",17843742,11772999,15020552,814557,45451850,0
2002,"MT","Montana",4030664,4003108,4462794,334822,12831388,0
2002,"NC","North Carolina",49854417,39276813,31381089,2174149,122686468,0
2002,"ND","North Dakota",3663885,3403944,2635775,515749,10219353,0
2002,"NE","Nebraska",8956037,7383737,7563454,1757833,25661061,0
2002,"NH","New Hampshire",4002520,4024499,2222292,134076,10383387,0
2002,"NJ","New Jersey",27171374,35429281,11475853,526112,74602620,0
2002,"NM","New Mexico",5238134,6999541,5315758,1653484,19206917,0
2002,"NV","Nevada",9702083,7537882,11372586,591721,29204272,0
2002,"NY","New York",46457030,62270518,25148005,13564563,147440116,0
2002,"OH","Ohio",50863643,39924173,58471510,4147772,153407098,0
2002,"OK","Oklahoma",19927272,13097069,12897521,3563604,49485466,0
2002,"OR","Oregon",17553984,14901886,12295887,503416,45255173,0
2002,"PA","Pennsylvania",48729956,42631879,47089551,1368484,139819870,0
2002,"RI","Rhode Island",2828887,3315843,1331242,84727,7560699,0
2002,"SC","South Carolina",26786631,18156632,31926073,950056,77819392,0
2002,"SD","South Dakota",3733016,3062101,1603878,537806,8936801,0
2002,"TN","Tennessee",38751810,26523396,31845313,1112508,98233027,0
2002,"TX","Texas",121435110,87745805,102251054,9413880,320845849,0
2002,"UT","Utah",6938291,8462993,7019410,846494,23267188,0
2002,"VA","Virginia",40358373,29998990,19520908,10740299,100618570,0
2002,"VT","Vermont",2046818,1945838,1591682,44925,5629263,0
2002,"WA","Washington",32065997,24309634,15791500,3236725,75403856,0
2002,"WI","Wisconsin",21575371,19143997,25533710,746218,66999296,0
2002,"WV","West Virginia",10444146,7039028,10902031,77917,28463122,0
2002,"WY","Wyoming",2232285,3027372,7452648,161755,12874060,0
2003,"AK","Alaska",1987009,2473028,1103645,0,5563682,0
2003,"AL","Alabama",29416418,20410633,34017169,0,83844220,0
2003,"AR","Arkansas",15598301,10568019,16941939,0,43108259,0
2003,"AZ","Arizona",27741520,25424540,10913500,0,64079560,0
2003,"CA","California",82925899,109577674,49908922,0,243221316,808821
2003,"CO","Colorado",15724839,19656729,11075619,0,46494645,37458
