"YEAR","ST","STATE","RESIDENTIAL","COMMERCIAL","INDUSTRIAL","OTHER","TOTAL","TRANSPORTATION"
2004,"LA","Louisiana",28862996,22567786,28290476,0,79737112,15854
2004,"MA","Massachusetts",19768529,26020124,9946998,0,56142019,406368
2004,"MD","Maryland",27951978,17264135,21194572,0,66891700,481015
2004,"ME","Maine",4331109,4325470,3711089,0,12367668,0
2004,"MI","Michigan",33103586,38632100,34867337,0,106606040,3017
2004,"MN","Minnesota",20507412,20406705,22415428,0,63340315,10770
2004,"MO","Missouri",31350643,28391148,14302630,0,74054296,9875
2004,"MS","Mississippi",17580026,12750284,15702228,0,46032538,0
2004,"MT","Montana",4052761,4330178,4573843,0,12956782,0
2004,"NC","North Carolina",51717380,42864261,31075166,0,125656807,0
2004,"ND","North Dakota",3662781,3843141,3010478,0,10516400,0
2004,"NE","Nebraska",8756735,8501171,8618024,0,25875930,0
2004,"NH","New Hampshire",4281738,4363073,2328498,0,10973309,0
2004,"NJ","New Jersey",28020125,38073559,11209578,0,77593167,289905
2004,"NM","New Mexico",5634821,8238750,5972164,0,19845735,0
2004,"NV","Nevada",10672590,8275330,12364386,0,31312306,0
2004,"NY","New York",47378876,74377929,20675049,0,145081709,2649855
2004,"OH","Ohio",50300038,45313453,58558349,0,154221114,49274
2004,"OK","Oklahoma",19699041,17020382,14222619,0,50942042,0
2004,"OR","Oregon",18000708,15666621,11953569,0,45636448,15550
2004,"PA","Pennsylvania",50663389,44355434,47659216,0,143501493,823454
2004,"RI","Rhode Island",3000355,3542437,1344783,0,7887575,0
2004,"SC","South Carolina",27909738,20112912,31885690,0,79908340,0
2004,"SD","South Dakota",3695725,3627165,1890954,0,9213844,0
2004,"TN","Tennessee",38525656,28248753,32885218,0,99660665,1038
2004,"TX","Texas",120329880,99615578,100588036,0,320614840,81346
2004,"UT","Utah",7324848,9345111,7816391,0,24511704,25354
2004,"VA","Virginia",42503395,43024672,19734461,0,105424173,161645
2004,"VT","Vermont",2109494,1977540,1576738,0,5663772,0
2004,"WA","Washington",32454682,28225786,19259409,0,79981608,41731
2004,"WI","Wisconsin",21192325,19348875,27434509,0,67975709,0
2004,"WV","West Virginia",10755869,7216779,10941528,0,28918612,4436
2004,"WY","Wyoming",2261814,3393334,7884365,0,13539513,0
2005,"AK","Alaska",2061652,2694911,1156008,0,5912571,0
2005,"AL","Alabama",31315100,21607755,36278765,0,89201620,0
2005,"AR","Arkansas",17133693,11366398,17664832,0,46164923,0
2005,"AZ","Arizona",30543645,27468349,11378692,0,69390686,0
2005,"CA","California",85610410,117550525,50242289,0,254249507,846283
2005,"CO","Colorado",16436381,19845958,12051510,0,48353236,19387
2005,"CT","Connecticut",13802962,13949347,5152936,0,33095029,189784
2005,"DC","District of Columbia",1938270,9295922,256447,0,11816207,325568
2005,"DE","Delaware",4594009,4237757,3305022,0,12136788,0
2005,"FL","Florida",115791459,89410281,19676345,0,224977011,98926
2005,"GA","Georgia",52826512,44663298,34601792,0,132265452,173850
2005,"HI","Hawaii",3164065,3463147,3911698,0,10538910,0
2005,"IA","Iowa",13570604,11271017,17915187,0,42756808,0
2005,"ID","Idaho",7600766,5615471,8636444,0,21852681,0
2005,"IL","Illinois",48592601,49977266,45888261,0,144986215,528087
2005,"IN","Indiana",33628670,23958618,48944355,0,106548910,17267
2005,"KS","Kansas",13406146,14453103,11165034,0,39024283,0
2005,"KY","Kentucky",26947109,19090657,43313700,0,89351466,0
2005,"LA","Louisiana",28654171,21692000,27031224,0,77389170,11775
2005,"MA","Massachusetts",20539324,26415494,9870553,0,57227588,402217
2005,"MD","Maryland",28439645,17931771,21516638,0,68365385,477331
2005,"ME","Maine",4503454,4157213,3702212,0,12362879,0
2005,"MI","Michigan",36094954,39599845,34744739,0,110444563,5025
2005,"MN","Minnesota",21743001,21985392,22265880,0,66019053,24780
2005,"MO","Missouri",34411988,29640253,16868838,0,80940494,19415
2005,"MS","Mississippi",17953344,12665855,15281865,0,45901064,0
2005,"MT","Montana",4221448,4473394,4783996,0,13478838,0
2005,"NC","North Carolina",54072734,44161328,30101279,0,128335377,36
2005,"ND","North Dakota",3796009,3993818,3050163,0,10839990,0
2005,"NE","Nebraska",9309209,8848232,8818503,0,26975944,0
2005,"NH","New Hampshire",4495376,4575721,2173531,0,11244628,0
2005,"NJ","New Jersey",29973443,39762419,11862286,0,81896813,298665
2005,"NM","New Mexico",5864834,8410621,6363496,0,20638951,0
2005,"NV","Nevada",11079816,8515904,12896931,0,32500630,7979
2005,"NY","New York",50532850,76821809,19946551,0,150147571,2846361
2005,"OH","Ohio",53904244,46869755,59354379,0,160176303,47925
2005,"OK","Oklahoma",21309314,17477404,14920384,0,53707102,0
2005,"OR","Oregon",18338815,15379662,12683813,0,46419245,16955
2005,"PA","Pennsylvania",53661476,45781817,47950070,0,148272940,879577
2005,"RI","Rhode Island",3171377,3628138,1249597,0,8049112,0
2005,"SC","South Carolina",28675763,20497870,32080455,0,81254088,0
2005,"SD","South Dakota",3972979,3998480,1839558,0,9811017,0
2005,"TN","Tennessee",41132286,29146413,33625413,0,103905421,1309
2005,"TX","Texas",126561913,110784312,96841431,0,334258262,70606
2005,"UT","Utah",7567279,9416776,7988772,0,25000498,27671
2005,"VA","Virginia",44661839,44670192,19354048,0,108849552,163473
2005,"VT","Vermont",2188639,2050800,1643614,0,5883053,0
2005,"WA","Washington",33212197,28099583,22111773,0,83425200,1647
2005,"WI","Wisconsin",22458357,22501289,25376037,0,70335683,0
2005,"WV","West Virginia",11384443,7451627,11311577,0,30152069,4422
2005,"WY","Wyoming",2376532,3754053,8007142,0,14137727,0
2006,"AK","Alaska",2120254,2819210,1242827,0,6182291,0
2006,"AL","Alabama",32277083,22119933,36280679,0,90677695,0
2006,"AR","Arkansas",17065081,11580534,17990009,0,46635624,0
2006,"AZ","Arizona",32367475,28625909,12259392,0,73252776,0
2006,"CA","California",89835749,121255049,50990893,0,262958528,876837
2006,"CO","Colorado",16951534,20152638,12604819,0,49733698,24707
2006,"CT","Connecticut",12963468,13611036,4925981,0,31677453,176968
2006,"DC","District of Columbia",1822110,9029833,239842,0,11396424,304639
2006,"DE","Delaware",4258638,4196006,3100028,0,11554672,0
2006,"FL","Florida",117053005,91300017,19767806,0,228219544,98716
2006,"GA","Georgia",54520612,45546516,34588483,0,134834168,178557
2006,"HI","Hawaii",3182432,3489733,3895747,0,10567912,0
2006,"IA","Iowa",13344308,11660321,18331369,0,43336835,837
2006,"ID","Idaho",8057475,5813222,8891052,0,22761749,0
2006,"IL","Illinois",46381486,50630916,44916424,0,142447811,518985
2006,"IN","Indiana",32286467,23829999,49529872,0,105664484,18146
2006,"KS","Kansas",13502671,14786349,11462282,0,39751302,0
2006,"KY","Kentucky",25948878,18941093,43853464,0,88743435,0
2006,"LA","Louisiana",28112801,21979446,27372926,0,77467748,2575
2006,"MA","Massachusetts",19624430,26236963,9602457,0,55850090,386240
2006,"MD","Maryland",26905386,29729030,6057030,0,63173143,481697
2006,"ME","Maine",4351049,4133900,3799819,0,12284768,0
2006,"MI","Michigan",34622099,39298995,34092935,0,108017697,3668
2006,"MN","Minnesota",21909406,22175217,22664223,0,66769931,21085
2006,"MO","Missouri",33880156,29800467,18315672,0,82015230,18935
2006,"MS","Mississippi",18276131,12948500,15711806,0,46936437,0
2006,"MT","Montana",4393973,4685992,4735015,0,13814980,0
2006,"NC","North Carolina",52851296,44584705,29262947,0,126698979,31
2006,"ND","North Dakota",3853040,4126550,3265648,0,11245238,0
2006,"NE","Nebraska",9293507,9005505,8977280,0,27276292,0
2006,"NH","New Hampshire",4400597,4562553,2131193,0,11094343,0
2006,"NJ","New Jersey",28621556,39437464,11330599,0,79680947,291328
2006,"NM","New Mexico",6009427,8603697,6821833,0,21434957,0
2006,"NV","Nevada",11978120,8975373,13624581,0,34586260,8186
2006,"NY","New York",48426749,76028586,14976420,0,142238019,2806264
2006,"OH","Ohio",51375232,46140704,55869283,0,153428844,43625
2006,"OK","Oklahoma",21690395,18196669,15018250,0,54905314,0
2006,"OR","Oregon",18977579,16082634,12990969,0,48069265,18083
2006,"PA","Pennsylvania",51790117,45623570,47920390,0,146150358,816281
2006,"RI","Rhode Island",3008443,3599332,1191351,0,7799126,0
2006,"SC","South Carolina",28539117,20922510,31415694,0,80877321,0
2006,"SD","South Dakota",4050931,4053792,1951664,0,10056387,0
2006,"TN","Tennessee",40815857,29033129,34081327,0,103931744,1431
2006,"TX","Texas",126843225,111130364,104688870,0,342724213,61754
2006,"UT","Utah",8232050,9748790,8355671,0,26365716,29205
2006,"VA","Virginia",42906018,44653831,18998109,0,106721241,163283
2006,"VT","Vermont",2142237,2027095,1625697,0,5795029,0
2006,"WA","Washington",34438565,28580249,22013391,0,85033335,1130
2006,"WI","Wisconsin",21779468,22755677,25285604,0,69820749,0
2006,"WV","West Virginia",11014418,7377472,13915886,0,32312126,4350
2006,"WY","Wyoming",2467935,4116620,8362057,0,14946612,0
2007,"AK","Alaska",2114456,2828388,1383766,0,6326610,0
2007,"AL","Alabama",32783444,22872543,36172477,0,91828464,0
2007,"AR","Arkansas",17414562,11801297,17839032,0,47054891,0
2007,"AZ","Arizona",34436657,30475259,12281290,0,77193206,0
2007,"CA","California",89158461,123690309,50538234,0,264234911,847907
2007,"CO","Colorado",17634182,20507762,13112913,0,51299156,44299
2007,"CT","Connecticut",13372090,15126055,5433393,0,34129107,197569
2007,"DC","District of Columbia",1969563,9518790,296687,0,12110185,325145
2007,"DE","Delaware",4469619,4320737,3078454,0,11868810,0
2007,"FL","Florida",117816205,93931300,19240994,0,231084600,96101
2007,"GA","Georgia",56223367,46997248,34054020,0,137453878,179243
2007,"HI","Hawaii",3200725,3520234,3864340,0,10585299,0
2007,"IA","Iowa",14060336,12084352,19124835,0,45269523,0
2007,"ID","Idaho",8339433,6014562,9401191,0,23755186,0
2007,"IL","Illinois",48036261,52043238,45430300,0,146055151,545352
2007,"IN","Indiana",34646057,24767579,49987609,0,109420150,18905
2007,"KS","Kansas",13806496,15474067,10885414,0,40165977,0
2007,"KY","Kentucky",28003953,20034521,44365626,0,92404100,0
2007,"LA","Louisiana",28877812,22887201,27798818,0,79566937,3106
2007,"MA","Massachusetts",20137533,27148237,9449995,0,57138822,403057
2007,"MD","Maryland",28194802,30691159,5980358,0,65390660,524341
2007,"ME","Maine",4413151,4195249,3251802,0,11860202,0
2007,"MI","Michigan",35366081,40046871,33878817,0,109296749,4980
2007,"MN","Minnesota",22645637,22523012,23041487,0,68231182,21046
2007,"MO","Missouri",35872486,31126108,18514719,0,85532850,19537
2007,"MS","Mississippi",18565875,13400202,16187104,0,48153181,0
2007,"MT","Montana",4541544,4827724,6162717,0,15531985,0
2007,"NC","North Carolina",56095471,46806862,28978399,0,131880754,22
2007,"ND","North Dakota",4067284,4214689,3623722,0,11905695,0
2007,"NE","Nebraska",9747547,9396455,9104398,0,28248400,0
2007,"NH","New Hampshire",4492870,4569789,2173197,0,11235856,0
2007,"NJ","New Jersey",29751647,40876070,11013372,0,81934334,293245
2007,"NM","New Mexico",6387363,8931612,6948419,0,22267394,0
2007,"NV","Nevada",12390180,9352037,13892692,0,35643402,8493
2007,"NY","New York",50241444,74326104,20212582,0,148177523,3397393
2007,"OH","Ohio",54375759,48128512,59218957,0,161770827,47599
2007,"OK","Oklahoma",21360557,18634445,15198198,0,55193200,0
2007,"OR","Oregon",19374458,16186580,13117448,0,48696965,18479
2007,"PA","Pennsylvania",54586820,47531366,48579169,0,151572950,875595
2007,"RI","Rhode Island",3131775,3710200,1171047,0,8013022,0
2007,"SC","South Carolina",29569241,21746491,30632426,0,81948158,0
2007,"SD","South Dakota",4260638,4181172,2161491,0,10603301,0
2007,"TN","Tennessee",42879972,29985091,33850338,0,106716934,1533
2007,"TX","Texas",124921214,110540053,108300296,0,343828582,67019
2007,"UT","Utah",8751547,10240612,8759331,0,27785447,33957
2007,"VA","Virginia",45480519,46971480,18924871,0,111569552,192682
2007,"VT","Vermont",2169646,2058960,1635400,0,5864006,0
2007,"WA","Washington",35388779,29599032,20752603,0,85741947,1533
2007,"WI","Wisconsin",22374048,23491055,25436197,0,71301300,0
2007,"WV","West Virginia",11749310,7768978,14661094,0,34183839,4457
2007,"WY","Wyoming",2592119,4213547,8729886,0,15535552,0
2008,"AK","Alaska",2129811,2851782,1344351,0,6325944,0
2008,"AL","Alabama",32184540,22533120,34989619,0,89707279,0
2008,"AR","Arkansas",17392467,11703351,17038455,0,46134681,408
2008,"AZ","Arizona",33236370,30162195,12869351,0,76267916,0
2008,"CA","California",91230818,125026317,51031270,0,268155219,866814
2008,"CO","Colorado",17720491,20550916,13822482,0,52142473,48584
2008,"CT","Connecticut",12729694,13665139,4371278,0,30956544,190433
2008,"DC","District of Columbia",1915640,9131317,257046,0,11616234,312231
2008,"DE","Delaware",4428194,4338868,2981721,0,11748783,0
2008,"FL","Florida",113936978,93205137,18944917,0,226172795,85763
2008,"GA","Georgia",55586624,46876482,32528832,0,135173514,181576
2008,"HI","Hawaii",3085237,3500753,3804289,0,10390279,0
2008,"IA","Iowa",14073160,12177843,19237067,0,45488070,0
2008,"ID","Idaho",8539743,6048579,9313168,0,23901490,0
2008,"IL","Illinois",46780346,51770479,45503189,0,144619914,565900
2008,"IN","Indiana",33980411,24569628,48411138,0,106980704,19527
2008,"KS","Kansas",13501924,15496012,10967125,0,39965061,0
2008,"KY","Kentucky",27561641,19669000,46197773,0,93428414,0
2008,"LA","Louisiana",28848402,22940065,26932132,0,78725774,5175
2008,"MA","Massachusetts",19638491,26582327,9331543,0,55884105,331744
2008,"MD","Maryland",27144255,30002993,5649943,0,63325777,528586
2008,"ME","Maine",4351309,4147833,3174531,0,11673673,0
2008,"MI","Michigan",34297438,38974426,32504511,0,105781271,4896
2008,"MN","Minnesota",22357408,22604482,23810379,0,68794138,21869
2008,"MO","Missouri",35389941,31117853,17850130,0,84381676,23752
2008,"MS","Mississippi",18293688,13232633,16194914,0,47721235,0
2008,"MT","Montana",4669467,4825520,5831413,0,15326400,0
2008,"NC","North Carolina",55751201,46540296,27772662,0,130069257,5098
2008,"ND","North Dakota",4259072,4460087,3696915,0,12416074,0
2008,"NE","Nebraska",9755626,9441477,9623918,0,28821021,0
2008,"NH","New Hampshire",4393951,4518095,2065243,0,10977289,0
2008,"NJ","New Jersey",29111023,40569713,10537289,0,80519543,301518
2008,"NM","New Mexico",6378856,8828166,6831086,0,22038108,0
2008,"NV","Nevada",12060515,9303932,13819778,0,35192496,8271
2008,"NY","New York",49033950,77415596,14685311,0,144052936,2918079
2008,"OH","Ohio",53410599,47310241,58620567,0,159388807,47400
2008,"OK","Oklahoma",21861112,19022303,15395451,0,56278866,0
2008,"OR","Oregon",19909844,16313369,12945224,0,49187477,19040
2008,"PA","Pennsylvania",54059762,47346950,48130823,0,150400589,863054
2008,"RI","Rhode Island",3042684,3700448,1075462,0,7818594,0
2008,"SC","South Carolina",29727267,21676238,29247067,0,80650572,0
2008,"SD","South Dakota",4405631,4240373,2328082,0,10974086,0
2008,"TN","Tennessee",41946552,29417546,32803763,0,104169779,1918
2008,"TX","Texas",128240048,113637612,105868443,0,347814647,68544
2008,"UT","Utah",8786278,10286114,9086145,0,28191511,32974
2008,"VA","Virginia",44596588,46877973,18437713,0,110106337,194063
2008,"VT","Vermont",2133497,2042917,1564790,0,5741204,0
2008,"WA","Washington",36335847,29878288,21117186,0,87332884,1563
2008,"WI","Wisconsin",21976106,23473454,24672267,0,70121827,0
2008,"WV","West Virginia",11762543,7715876,14738253,0,34221103,4431
2008,"WY","Wyoming",2718705,4411371,9560173,0,16690249,0
2009,"AK","Alaska",2117393,2841337,1311441,0,6270171,0
2009,"AL","Alabama",31489411,21918478,29436713,0,82844602,0
2009,"AR","Arkansas",16985526,11476900,14710294,0,43173104,384
2009,"AZ","Arizona",32846843,29385690,11200396,0,73432929,0
2009,"CA","California",89798789,121105407,47835152,0,259583676,844328
2009,"CO","Colorado",17412630,20008463,13571148,0,51035906,43665
2009,"CT","Connecticut",12578225,13257343,3692019,0,29715764,188177
2009,"DC","District of Columbia",1899655,8992144,234035,0,11434375,308541
2009,"DE","Delaware",4334912,4184934,2737932,0,11257778,0
2009,"FL","Florida",115473511,92274655,16917941,0,224750322,84215
2009,"GA","Georgia",55157559,46080389,29348148,0,130765505,179409
2009,"HI","Hawaii",3055273,3388012,3682900,0,10126185,0
2009,"IA","Iowa",13723413,11706306,18211476,0,43641195,0
2009,"ID","Idaho",8553610,6005433,8194736,0,22753779,0
2009,"IL","Illinois",44324492,50329279,41507314,0,136688466,527381
2009,"IN","Indiana",32548113,23688605,43055162,0,99311813,19933
2009,"KS","Kansas",13149100,15006967,10087277,0,38243344,0
2009,"KY","Kentucky",26560669,18733920,43602168,0,88896757,0
2009,"LA","Louisiana",29746798,23300521,25613203,0,78669582,9060
2009,"MA","Massachusetts",19474647,17774774,16754266,0,54359198,355511
2009,"MD","Maryland",26944566,29806001,5285833,0,62589143,552743
2009,"ME","Maine",4360002,4071041,2851924,0,11282967,0
2009,"MI","Michigan",32854122,37870363,27391101,0,98121014,5428
2009,"MN","Minnesota",22033959,22311487,19637127,0,64004463,21890
2009,"MO","Missouri",34220694,30604880,15050485,0,79897300,21241
2009,"MS","Mississippi",18095194,13013470,14940490,0,46049154,0
2009,"MT","Montana",4790401,4790862,4772512,0,14353775,0
2009,"NC","North Carolina",56311126,46240476,25099682,0,127657979,6695
2009,"ND","North Dakota",4449220,4558194,3641166,0,12648580,0
2009,"NE","Nebraska",9626939,9314288,9510967,0,28452194,0
2009,"NH","New Hampshire",4421522,4440760,1836211,0,10698493,0
2009,"NJ","New Jersey",27832944,39377041,8250104,0,75779853,319764
2009,"NM","New Mexico",6503772,8734170,6409194,0,21647136,0
2009,"NV","Nevada",11880150,8950123,13445042,0,34283654,8339
2009,"NY","New York",48245841,75347118,13416581,0,140034397,3024857
2009,"OH","Ohio",51405162,45369743,49485875,0,146299793,39013
2009,"OK","Oklahoma",21640955,18670167,14233458,0,54544580,0
2009,"OR","Oregon",19804315,15977598,11761280,0,47566897,23704
2009,"PA","Pennsylvania",52905995,46411160,43551745,0,143747438,878538
2009,"RI","Rhode Island",2936699,3690676,990254,0,7617629,0
2009,"SC","South Carolina",29556323,21439771,25421385,0,76417479,0
2009,"SD","South Dakota",4511308,4238348,2260462,0,11010118,0
2009,"TN","Tennessee",40274908,28048799,26584323,0,94909844,1814
2009,"TX","Texas",129814900,118534735,96930878,0,345351420,70907
2009,"UT","Utah",8725274,10235285,8593799,0,27586700,32342
2009,"VA","Virginia",44763019,46828102,16677928,0,108462463,193414
2009,"VT","Vermont",2121828,1991194,1383491,0,5496513,0
2009,"WA","Washington",36768184,30068674,23370520,0,90210002,2624
2009,"WI","Wisconsin",21421045,22475846,22389548,0,66286439,0
2009,"WV","West Virginia",11587693,7694450,10985114,0,30271329,4072
2009,"WY","Wyoming",2719524,4288145,9554268,0,16561937,0
2010,"AK","Alaska",2093217,2829738,1324083,0,6247038,0
2010,"AL","Alabama",35529292,22983768,32349585,0,90862645,0
2010,"AR","Arkansas",19230961,12188205,16774699,0,48194285,420
2010,"AZ","Arizona",32448138,28942918,11441974,0,72833030,0
2010,"CA","California",87256946,121151697,49301025,0,258530892,821224
2010,"CO","Colorado",18102386,19597222,15171843,0,52917786,46335
2010,"CT","Connecticut",13065275,13427698,3712952,0,30391766,185841
2010,"DC","District of Columbia",2123312,9209486,229597,0,11876995,314600
2010,"DE","Delaware",4759973,4320020,2525939,0,11605932,0
2010,"FL","Florida",122244650,91614093,17265268,0,231209614,85603
2010,"GA","Georgia",61554498,47897477,31046909,0,140671580,172696
2010,"HI","Hawaii",2989499,3354523,3672487,0,10016509,0
2010,"IA","Iowa",14554888,12025276,18865105,0,45445269,0
2010,"ID","Idaho",8136736,5864885,8796047,0,22797668,0
2010,"IL","Illinois",48582984,51437414,44180125,0,144760674,560151
2010,"IN","Indiana",35058372,24364616,46551671,0,105994376,19717
2010,"KS","Kansas",14334086,15435825,10650764,0,40420675,0
2010,"KY","Kentucky",29136518,19410547,45022361,0,93569426,0
2010,"LA","Louisiana",32678931,24203161,28186816,0,85079692,10784
2010,"MA","Massachusetts",21409005,18243198,17116157,0,57123422,355062
2010,"MD","Maryland",28934074,30771317,5083115,0,65335498,546992
2010,"ME","Maine",4371835,4100906,3058827,0,11531568,0
2010,"MI","Michigan",34680715,38123171,30840513,0,103649219,4820
2010,"MN","Minnesota",22464797,22515351,22797763,0,67799706,21795
2010,"MO","Missouri",37302279,31430653,17330169,0,86085117,22016
2010,"MS","Mississippi",20174826,13804962,15707378,0,49687166,0
2010,"MT","Montana",4742794,4789182,4239477,0,13771453,0
2010,"NC","North Carolina",62160107,47931940,26315850,0,136414947,7050
2010,"ND","North Dakota",4392596,4714115,3849552,0,12956263,0
2010,"NE","Nebraska",10106673,9532438,10210349,0,29849460,0
2010,"NH","New Hampshire",4485469,4462438,1942167,0,10890074,0
2010,"NJ","New Jersey",30307268,40122547,8428639,0,79179427,320973
2010,"NM","New Mexico",6752473,9015729,6660142,0,22428344,0
2010,"NV","Nevada",11614669,8969727,13179708,0,33772595,8491
2010,"NY","New York",50945648,77275676,13480462,0,144623573,2921787
2010,"OH","Ohio",54474377,46525627,53109368,0,154145418,36046
2010,"OK","Oklahoma",23688861,19005132,15151987,0,57845980,0
2010,"OR","Oregon",18838666,15453588,11708420,0,46025945,25271
2010,"PA","Pennsylvania",55252837,47366366,45457627,0,148963968,887138
2010,"RI","Rhode Island",3117808,3693289,960833,0,7799227,27297
2010,"SC","South Carolina",32852086,22320133,27307074,0,82479293,0
2010,"SD","South Dakota",4628123,4367781,2360245,0,11356149,0
2010,"TN","Tennessee",45191027,29399025,28929637,0,103521537,1848
2010,"TX","Texas",137161402,121467292,99754412,0,358457550,74444
2010,"UT","Utah",8834230,10367847,8808211,0,28044001,33713
2010,"VA","Virginia",48438958,48036984,17141224,0,113806135,188969
2010,"VT","Vermont",2127935,2020937,1445961,0,5594833,0
2010,"WA","Washington",34906926,28833281,26632814,0,90379970,6949
2010,"WI","Wisconsin",22299493,23001117,23451807,0,68752417,0
2010,"WV","West Virginia",12442583,7961906,11622934,0,32031803,4380
2010,"WY","Wyoming",2727201,4317140,10069117,0,17113458,0
2011,"AK","Alaska",2134422,2854410,1330708,0,6319540,0
2011,"AL","Alabama",33002815,22257127,33735427,0,88995369,0
2011,"AR","Arkansas",18787349,12146130,16993922,0,47927829,428
2011,"AZ","Arizona",33079074,29512330,12352241,0,74943645,0
2011,"CA","California",88398416,122780917,49935776,0,261941700,826591
2011,"CO","Colorado",18276799,19889231,15241814,0,53458285,50441
2011,"CT","Connecticut",12918796,13087010,3668217,0,29858993,184970
2011,"DC","District of Columbia",2061392,8965834,216244,0,11562055,318585
2011,"DE","Delaware",4632094,4259842,2591360,0,11483296,0
2011,"FL","Florida",116341105,91778108,16885585,0,225090422,85624
2011,"GA","Georgia",57749519,46930109,31521020,0,136371149,170501
2011,"HI","Hawaii",2928743,3368131,3664779,0,9961653,0
2011,"IA","Iowa",14326771,12087902,19240204,0,45654877,0
2011,"ID","Idaho",8389866,5969462,8912396,0,23271724,0
2011,"IL","Illinois",47057002,50468038,44844111,0,142885567,516416
2011,"IN","Indiana",33912098,24111250,47774083,0,105818139,20708
2011,"KS","Kansas",14343748,15609278,10807373,0,40760399,0
2011,"KY","Kentucky",27197836,18721081,43619424,0,89538341,0
2011,"LA","Louisiana",32019040,24280780,30058415,0,86369081,10846
2011,"MA","Massachusetts",20472512,17766602,16973507,0,55569912,357291
2011,"MD","Maryland",27295675,30749605,5007386,0,63599711,547045
2011,"ME","Maine",4381536,4018070,3015739,0,11415345,0
2011,"MI","Michigan",34811337,38612718,31624220,0,105053558,5283
2011,"MN","Minnesota",22523727,22371109,23618724,0,68532708,19148
2011,"MO","Missouri",35941243,30962081,17329648,0,84254841,21869
2011,"MS","Mississippi",19336430,13737924,16263203,0,49337557,0
2011,"MT","Montana",4913110,4892271,3982700,0,13788081,0
2011,"NC","North Carolina",58055878,46467228,26554615,0,131084933,7212
2011,"ND","North Dakota",4552228,4866230,4318558,0,13737016,0
2011,"NE","Nebraska",9946973,9139410,10589701,0,29676084,0
2011,"NH","New Hampshire",4454088,4478106,1936413,0,10868607,0
2011,"NJ","New Jersey",29398870,39117745,8033254,0,76859762,309893
2011,"NM","New Mexico",6873748,9257633,6910284,0,23041665,0
2011,"NV","Nevada",11493279,8995162,13419961,0,33916479,8077
2011,"NY","New York",51239599,76405800,13420153,0,144046609,2981057
2011,"OH","Ohio",53687111,47111763,53913437,0,154746310,33999
2011,"OK","Oklahoma",24425027,19612922,15808845,0,59846794,0
2011,"OR","Oregon",19429175,15754249,11963131,0,47171446,24891
2011,"PA","Pennsylvania",54795633,43535836,49585444,0,148757238,840325
2011,"RI","Rhode Island",3129446,3660143,915857,0,7732420,26974
2011,"SC","South Carolina",30801731,21592794,28094021,0,80488546,0
2011,"SD","South Dakota",4646384,4446864,2586352,0,11679600,0
2011,"TN","Tennessee",43067861,29025334,28638453,0,100733329,1681
2011,"TX","Texas",145654228,128213690,102128869,0,376065116,68329
2011,"UT","Utah",8946741,10544326,9332992,0,28858946,34887
2011,"VA","Virginia",45771144,47051425,17218005,0,110228265,187691
2011,"VT","Vermont",2124533,2008547,1417104,0,5550184,0
2011,"WA","Washington",36376143,29408904,27932787,0,93724917,7083
2011,"WI","Wisconsin",22149941,23054970,23406711,0,68611622,0
2011,"WV","West Virginia",11746151,7767926,11720437,0,31238753,4239
2011,"WY","Wyoming",2802726,4353082,10261954,0,17417762,0
2012,"AK","Alaska",2160196,2875038,1381177,0,6416411,0
2012,"AL","Alabama",30632261,21799181,33751106,0,86182548,0
2012,"AR","Arkansas",17909301,12102048,16847755,0,46859567,463
2012,"AZ","Arizona",32922970,29692256,12448117,0,75063343,0
2012,"CA","California",90109995,121791536,46951714,0,259538038,684793
2012,"CO","Colorado",18220365,19997226,15415235,0,53685297,52471
2012,"CT","Connecticut",12757633,12976050,3565944,0,29492338,192711
2012,"DC","District of Columbia",2002527,8713337,218376,0,11258845,324605
2012,"DE","Delaware",4521682,4243028,2754621,0,11519331,0
2012,"FL","Florida",112127056,92037801,16425581,0,220674333,83895
2012,"GA","Georgia",53660167,45937150,31224600,0,130978872,156955
2012,"HI","Hawaii",2739298,3238180,3661679,0,9639157,0
2012,"IA","Iowa",13987613,12209804,19511683,0,45709100,0
2012,"ID","Idaho",8159349,5978118,9574392,0,23711859,0
2012,"IL","Illinois",46901870,50807913,45277444,0,143540004,552777
2012,"IN","Indiana",32963522,24022068,48167545,0,105173425,20290
2012,"KS","Kansas",13796679,15455686,11041111,0,40293476,0
2012,"KY","Kentucky",26096707,18755918,44195865,0,89048490,0
2012,"LA","Louisiana",30026588,24244733,30448836,0,84730743,10586
2012,"MA","Massachusetts",20313469,17722811,16927205,0,55313324,349839
2012,"MD","Maryland",26678158,30107526,4499827,0,61813552,528041
2012,"ME","Maine",4480736,4053188,3027135,0,11561059,0
2012,"MI","Michigan",34461140,38514266,31835905,0,104818191,6880
2012,"MN","Minnesota",22059631,22495804,23415791,0,67988535,17309
2012,"MO","Missouri",34336615,30482745,17594410,0,82435359,21589
2012,"MS","Mississippi",17992708,13584638,16810329,0,48387675,0
2012,"MT","Montana",4778365,4917509,4167509,0,13863383,0
2012,"NC","North Carolina",54671521,46510125,26896123,0,128084893,7124
2012,"ND","North Dakota",4484758,5108616,5123582,0,14716956,0
2012,"NE","Nebraska",9680143,9232889,11914907,0,30827939,0
2012,"NH","New Hampshire",4439208,4478420,1952633,0,10870261,0
2012,"NJ","New Jersey",28662958,38340478,7762331,0,75052914,287147
